Parliamentary Constituency Code,Parliamentary Constituency,Region,Number of households,Number of households in fuel poverty,Proportion of households fuel poor (%),
E14000530,Aldershot,South East,43858 ,3481 , 7.9 ,
E14000531,Aldridge-Brownhills,West Midlands,34815 ,4872 , 14.0 ,
E14000532,Altrincham and Sale West,North West,42804 ,4290 , 10.0 ,
E14000533,Amber Valley,East Midlands,40570 ,6073 , 15.0 ,
E14000534,Arundel and South Downs,South East,45107 ,3590 , 8.0 ,
E14000535,Ashfield,East Midlands,46558 ,7429 , 16.0 ,
E14000536,Ashford,South East,49748 ,4333 , 8.7 ,
E14000537,Ashton-under-Lyne,North West,41706 ,6135 , 14.7 ,
E14000538,Aylesbury,South East,46828 ,3643 , 7.8 ,
E14000539,Banbury,South East,51135 ,4105 , 8.0 ,
E14000540,Barking,London,48835 ,9839 , 20.1 ,
E14000541,Barnsley Central,Yorkshire and The Humber,40742 ,7704 , 18.9 ,
E14000542,Barnsley East,Yorkshire and The Humber,41912 ,8553 , 20.4 ,
E14000543,Barrow and Furness,North West,43060 ,6170 , 14.3 ,
E14000544,Basildon and Billericay,East of England,40649 ,4828 , 11.9 ,
E14000545,Basingstoke,South East,48652 ,3422 , 7.0 ,
E14000546,Bassetlaw,East Midlands,47277 ,7092 , 15.0 ,
E14000547,Bath,South West,41999 ,5426 , 12.9 ,
E14000548,Batley and Spen,Yorkshire and The Humber,46851 ,8155 , 17.4 ,
E14000549,Battersea,London,51611 ,3829 , 7.4 ,
E14000550,Beaconsfield,South East,43763 ,2570 , 5.9 ,
E14000551,Beckenham,London,39609 ,3094 , 7.8 ,
E14000552,Bedford,East of England,44758 ,6938 , 15.5 ,
E14000553,Bermondsey and Old Southwark,London,59310 ,6036 , 10.2 ,
E14000554,Berwick-upon-Tweed,North East,35548 ,5290 , 14.9 ,
E14000555,Bethnal Green and Bow,London,52293 ,6413 , 12.3 ,
E14000556,Beverley and Holderness,Yorkshire and The Humber,46263 ,6561 , 14.2 ,
E14000557,Bexhill and Battle,South East,48339 ,4683 , 9.7 ,
E14000558,Bexleyheath and Crayford,London,37889 ,4115 , 10.9 ,
E14000559,Birkenhead,North West,42742 ,7757 , 18.1 ,
E14000560,Birmingham Edgbaston,West Midlands,42914 ,8528 , 19.9 ,
E14000561,Birmingham Erdington,West Midlands,44224 ,10650 , 24.1 ,
E14000562,Birmingham Hall Green,West Midlands,42504 ,9234 , 21.7 ,
E14000563,Birmingham Hodge Hill,West Midlands,42704 ,11441 , 26.8 ,
E14000564,Birmingham Ladywood,West Midlands,51409 ,12630 , 24.6 ,
E14000565,Birmingham Northfield,West Midlands,46585 ,9459 , 20.3 ,
E14000566,Birmingham Perry Barr,West Midlands,41026 ,9246 , 22.5 ,
E14000567,Birmingham Selly Oak,West Midlands,44489 ,10409 , 23.4 ,
E14000568,Birmingham Yardley,West Midlands,44782 ,10761 , 24.0 ,
E14000569,Bishop Auckland,North East,41464 ,6132 , 14.8 ,
E14000570,Blackburn,North West,43034 ,7130 , 16.6 ,
